travelCode,userCode,name,place,days,price,total,date_day,date_month,date_weekday
-1.7233122286141487,-1.7052140297642622,0,3,1.3403947569492254,1.284580408552382,2.241743620680132,26,9,3
-1.7232614771285701,-1.7052140297642622,7,7,-0.4464163797449441,0.6381232601684254,-0.029466649892202976,10,10,3
-1.7231345984146236,-1.7052140297642622,7,7,0.4469891886021406,0.6381232601684254,0.7954230412136885,14,11,3
-1.7230330954434663,-1.7052140297642622,7,7,1.3403947569492254,0.6381232601684254,1.6203127323195803,12,12,3
-1.7229823439578875,-1.7052140297642622,0,3,-1.3398219480920288,1.284580408552382,-0.6989986189079567,26,12,3
-1.722931592472309,-1.7052140297642622,3,4,-0.4464163797449441,0.370601283624933,-0.1580493563832548,9,1,3
-1.7227539622727839,-1.7052140297642622,8,0,-0.4464163797449441,-0.08339119873138771,-0.37625790456388014,27,2,3
-1.7225763320732586,-1.7052140297642622,2,5,1.3403947569492254,1.2821045597680047,2.2393636192935467,16,4,3
-1.7225002048448907,-1.7052140297642622,1,8,-0.4464163797449441,-0.9817333839680337,-0.8080402613828328,7,5,3
-1.7224748291021013,-1.7052140297642622,7,7,1.3403947569492254,0.6381232601684254,1.6203127323195803,14,5,3
-1.722449453359312,-1.7052140297642622,1,8,0.4469891886021406,-0.9817333839680337,-0.372437376022256,21,5,3
-1.7223479503881547,-1.7052140297642622,3,4,-0.4464163797449441,0.370601283624933,-0.1580493563832548,18,6,3
-1.7223225746453654,-1.7052140297642622,7,7,-1.3398219480920288,0.6381232601684254,-0.8543563409980947,25,6,3
-1.7222464474169974,-1.7052140297642622,5,2,0.4469891886021406,-2.0073863198539694,-1.111897543672817,16,7,3
-1.7222210716742081,-1.7052140297642622,7,7,1.3403947569492254,0.6381232601684254,1.6203127323195803,23,7,3
-1.7221703201886296,-1.7052140297642622,3,4,-1.3398219480920288,0.370601283624933,-0.9186476942436205,6,8,3
-1.7220180657318938,-1.7052140297642622,7,7,-1.3398219480920288,0.6381232601684254,-0.8543563409980947,17,9,3
-1.721967314246315,-1.7052140297642622,5,2,-0.4464163797449441,-2.0073863198539694,-1.3010137064832066,1,10,3
-1.7219419385035257,-1.7052140297642622,1,8,0.4469891886021406,-0.9817333839680337,-0.372437376022256,8,10,3
-1.7219165627607365,-1.7052140297642622,0,3,-0.4464163797449441,1.284580408552382,0.281248794288073,15,10,3
-1.7218658112751577,-1.7052140297642622,8,0,1.3403947569492254,-0.08339119873138771,0.926730222976226,29,10,3
-1.72178968404679,-1.7052140297642622,8,0,1.3403947569492254,-0.08339119873138771,0.926730222976226,19,11,3
-1.7216628053328433,-1.7052140297642622,6,6,-1.3398219480920288,-0.6313356270632843,-1.1594349397890895,24,12,3
-1.7214597993905287,-1.7052140297642622,4,1,1.3403947569492254,0.4323671954036059,1.4225220907712406,18,2,3
-1.7212567934482141,-1.7052140297642622,3,4,1.3403947569492254,0.370601283624933,1.3631473193374766,15,4,3
-1.7211299147342676,-1.7052140297642622,1,8,0.4469891886021406,-0.9817333839680337,-0.372437376022256,20,5,3
-1.7211045389914783,-1.7052140297642622,2,5,-1.3398219480920288,1.2821045597680047,-0.699593619254603,27,5,3
-1.7210284117631103,-1.7026573479473257,1,8,-1.3398219480920288,-0.9817333839680337,-1.2436431467434095,3,10,3
-1.7209776602775317,-1.7026573479473257,4,1,-1.3398219480920288,0.4323671954036059,-0.9038040013851796,17,10,3
-1.7207746543352171,-1.7001006661303892,6,6,1.3403947569492254,-0.6313356270632843,0.3999983371556007,31,10,3
-1.7207492785924279,-1.7001006661303892,5,2,0.4469891886021406,-2.0073863198539694,-1.111897543672817,7,11,3
-1.7206477756212706,-1.7001006661303892,8,0,1.3403947569492254,-0.08339119873138771,0.926730222976226,5,12,3
-1.7205716483929028,-1.7001006661303892,2,5,0.4469891886021406,1.2821045597680047,1.2597112064441638,26,12,3
-1.7205462726501133,-1.7001006661303892,5,2,-0.4464163797449441,-2.0073863198539694,-1.3010137064832066,2,1,3
-1.720520896907324,-1.7001006661303892,7,7,-1.3398219480920288,0.6381232601684254,-0.8543563409980947,9,1,3
-1.7204701454217455,-1.7001006661303892,1,8,1.3403947569492254,-0.9817333839680337,0.06316550933832059,23,1,3
-1.7203686424505882,-1.7001006661303892,5,2,1.3403947569492254,-2.0073863198539694,-0.9227813808624268,20,2,3
-1.720343266707799,-1.7001006661303892,2,5,-0.4464163797449441,1.2821045597680047,0.28005879359478025,27,2,3
-1.7202925152222202,-1.7001006661303892,7,7,-0.4464163797449441,0.6381232601684254,-0.029466649892202976,12,3,3
-1.7202163879938523,-1.7001006661303892,0,3,1.3403947569492254,1.284580408552382,2.241743620680132,2,4,3
-1.7201656365082736,-1.7001006661303892,8,0,0.4469891886021406,-0.08339119873138771,0.275236159206173,16,4,3
-1.7201402607654843,-1.7001006661303892,5,2,-0.4464163797449441,-2.0073863198539694,-1.3010137064832066,23,4,3
-1.7198865033375912,-1.7001006661303892,6,6,-1.3398219480920288,-0.6313356270632843,-1.1594349397890895,2,7,3
-1.7198357518520124,-1.7001006661303892,0,3,0.4469891886021406,1.284580408552382,1.2614962074841025,16,7,3
-1.7195058671957515,-1.7001006661303892,8,0,-0.4464163797449441,-0.08339119873138771,-0.37625790456388014,15,10,3
-1.7194297399673835,-1.7001006661303892,5,2,1.3403947569492254,-2.0073863198539694,-0.9227813808624268,5,11,3
-1.7193536127390154,-1.7001006661303892,4,1,-0.4464163797449441,0.4323671954036059,-0.12836197066637287,26,11,3
-1.7192521097678584,-1.7001006661303892,5,2,-0.4464163797449441,-2.0073863198539694,-1.3010137064832066,24,12,3
-1.7191252310539118,-1.7001006661303892,3,4,0.4469891886021406,0.370601283624933,0.602548981477111,28,1,3
-1.71882072214044,-1.7001006661303892,8,0,-0.4464163797449441,-0.08339119873138771,-0.37625790456388014,22,4,3
-1.7187445949120719,-1.7001006661303892,5,2,0.4469891886021406,-2.0073863198539694,-1.111897543672817,13,5,3
-1.7185669647125468,-1.7001006661303892,8,0,0.4469891886021406,-0.08339119873138771,0.275236159206173,1,7,3
-1.7185415889697575,-1.7001006661303892,1,8,-0.4464163797449441,-0.9817333839680337,-0.8080402613828328,8,7,3
-1.7185162132269682,-1.7001006661303892,7,7,1.3403947569492254,0.6381232601684254,1.6203127323195803,15,7,3
-1.7184400859986002,-1.7001006661303892,0,3,1.3403947569492254,1.284580408552382,2.241743620680132,5,8,3
-1.7183132072846536,-1.7001006661303892,0,3,0.4469891886021406,1.284580408552382,1.2614962074841025,9,9,3
-1.7182117043134963,-1.7001006661303892,0,3,-0.4464163797449441,1.284580408552382,0.281248794288073,7,10,3
-1.718110201342339,-1.7001006661303892,6,6,-0.4464163797449441,-0.6313356270632843,-0.6396238474741928,4,11,3
-1.7179579468856032,-1.7001006661303892,8,0,0.4469891886021406,-0.08339119873138771,0.275236159206173,16,12,3
-1.7179071954000247,-1.7001006661303892,7,7,0.4469891886021406,0.6381232601684254,0.7954230412136885,30,12,3
-1.7178818196572352,-1.7001006661303892,2,5,-1.3398219480920288,1.2821045597680047,-0.699593619254603,6,1,3
-1.7177549409432886,-1.7001006661303892,0,3,-0.4464163797449441,1.284580408552382,0.281248794288073,10,2,3
-1.71770418945771,-1.7001006661303892,7,7,-1.3398219480920288,0.6381232601684254,-0.8543563409980947,24,2,3
-1.717628062229342,-1.7001006661303892,4,1,0.4469891886021406,0.4323671954036059,0.6470800600524338,17,3,3
-1.7176026864865528,-1.7001006661303892,3,4,1.3403947569492254,0.370601283624933,1.3631473193374766,24,3,3
-1.7173996805442382,-1.6975439843134525,0,3,-0.4464163797449441,1.284580408552382,0.281248794288073,14,11,3
-1.7173489290586597,-1.6975439843134525,0,3,0.4469891886021406,1.284580408552382,1.2614962074841025,28,11,3
-1.7172728018302916,-1.6975439843134525,0,3,-0.4464163797449441,1.284580408552382,0.281248794288073,19,12,3
-1.7172474260875024,-1.6975439843134525,0,3,-0.4464163797449441,1.284580408552382,0.281248794288073,26,12,3
-1.717222050344713,-1.6975439843134525,4,1,1.3403947569492254,0.4323671954036059,1.4225220907712406,2,1,3
-1.7171966746019238,-1.6975439843134525,0,3,-1.3398219480920288,1.284580408552382,-0.6989986189079567,9,1,3
-1.717145923116345,-1.6975439843134525,6,6,-1.3398219480920288,-0.6313356270632843,-1.1594349397890895,23,1,3
-1.7171205473735558,-1.6975439843134525,2,5,1.3403947569492254,1.2821045597680047,2.2393636192935467,30,1,3
